system:index,B11,B12,B2,B3,B4,B8,ID,Latitude,Longitude,.geo
00000000000000001852,2327.5,1422.0,381.0,605.5,632.0,2300.0,Q7QJ6M,10.51887035369873,-13.432999610900879,"{""type"":""Point"",""coordinates"":[-13.432999610900879,10.518870353698729]}"
00000000000000001d07,2280.5,1304.5,395.0,661.5,630.5,2717.5,5XD1YT,10.537759780883789,-13.43185043334961,"{""type"":""Point"",""coordinates"":[-13.431850433349608,10.537759780883787]}"
000000000000000027b3,2573.0,1680.0,422.0,683.0,752.5,2474.0,F7LO6G,10.512040138244629,-13.427689552307129,"{""type"":""Point"",""coordinates"":[-13.427689552307129,10.512040138244629]}"
00000000000000001850,2102.5,1128.5,339.0,597.0,425.0,2890.0,TQC7K7,10.516090393066406,-13.42728042602539,"{""type"":""Point"",""coordinates"":[-13.42728042602539,10.516090393066406]}"
00000000000000001d02,2098.0,1052.0,380.5,681.0,548.0,3108.0,ANAJ12,10.498200416564941,-13.426619529724121,"{""type"":""Point"",""coordinates"":[-13.426619529724121,10.498200416564941]}"
00000000000000001851,2257.0,1254.5,388.5,632.5,533.0,2539.0,K2JIVO,10.51692008972168,-13.425840377807617,"{""type"":""Point"",""coordinates"":[-13.425840377807617,10.516920089721678]}"
00000000000000001d04,2257.0,1254.5,388.5,632.5,533.0,2539.0,DA46Q4,10.51692008972168,-13.425840377807617,"{""type"":""Point"",""coordinates"":[-13.425840377807617,10.516920089721678]}"
00000000000000001d01,2595.5,1592.5,453.0,722.5,789.0,2655.0,221UWM,10.495180130004883,-13.424739837646484,"{""type"":""Point"",""coordinates"":[-13.424739837646486,10.495180130004883]}"
00000000000000001857,2311.5,1620.0,427.5,659.5,709.0,2082.0,WC85S1,10.540900230407715,-13.424150466918945,"{""type"":""Point"",""coordinates"":[-13.424150466918944,10.540900230407715]}"
000000000000000027b1,2388.5,1455.0,434.0,752.0,660.0,3132.0,VXDLUO,10.539429664611816,-13.424139976501465,"{""type"":""Point"",""coordinates"":[-13.424139976501467,10.539429664611815]}"
00000000000000001854,2207.0,1194.5,386.0,703.0,594.0,2829.0,UAUZZ3,10.524169921875,-13.406100273132324,"{""type"":""Point"",""coordinates"":[-13.406100273132324,10.524169921874998]}"
00000000000000001cfd,2248.5,1191.5,403.0,681.0,533.0,3091.0,W2ZNWP,10.475640296936035,-13.405340194702148,"{""type"":""Point"",""coordinates"":[-13.405340194702148,10.475640296936035]}"
00000000000000001855,1620.0,753.5,279.0,439.5,338.5,2843.5,AMZ9XU,10.52550983428955,-13.404950141906738,"{""type"":""Point"",""coordinates"":[-13.404950141906737,10.52550983428955]}"
00000000000000000937,1900.0,913.0,322.5,585.5,434.5,2850.5,AKB5IQ,10.497369766235352,-13.404800415039062,"{""type"":""Point"",""coordinates"":[-13.404800415039062,10.497369766235352]}"
0000000000000000184f,597.5,353.0,295.0,375.5,303.5,481.5,JDVAIW,10.50197982788086,-13.404399871826172,"{""type"":""Point"",""coordinates"":[-13.40439987182617,10.50197982788086]}"
0000000000000000184e,2102.5,1023.0,335.5,561.0,480.0,3045.0,I6BBJR,10.495619773864746,-13.403380393981934,"{""type"":""Point"",""coordinates"":[-13.403380393981932,10.495619773864746]}"
00000000000000001d08,2425.0,1754.5,457.5,665.5,862.5,1671.0,9JD1JL,10.541999816894531,-13.382710456848145,"{""type"":""Point"",""coordinates"":[-13.382710456848146,10.541999816894533]}"
0000000000000000092f,1922.0,983.0,348.5,628.5,483.0,2810.5,A836HI,10.522239685058594,-13.381699562072754,"{""type"":""Point"",""coordinates"":[-13.381699562072756,10.522239685058594]}"
00000000000000001d06,1922.0,983.0,348.5,628.5,483.0,2810.5,9X4UVH,10.522239685058594,-13.381699562072754,"{""type"":""Point"",""coordinates"":[-13.381699562072756,10.522239685058594]}"
0000000000000000184a,2368.0,1549.5,439.0,712.0,794.0,2384.0,1VH5A2,10.471529960632324,-13.381580352783203,"{""type"":""Point"",""coordinates"":[-13.381580352783203,10.471529960632324]}"
0000000000000000092e,2069.5,995.5,353.5,651.0,460.0,3462.5,0NOJGK,10.475760459899902,-13.381389617919922,"{""type"":""Point"",""coordinates"":[-13.381389617919924,10.475760459899902]}"
00000000000000000938,2447.5,1981.5,515.0,682.5,948.0,1441.0,AI6FOW,10.539389610290527,-13.38070011138916,"{""type"":""Point"",""coordinates"":[-13.38070011138916,10.53938961029053]}"
00000000000000001d0a,2300.0,1430.0,359.5,631.0,586.0,2634.0,M02IZB,10.543749809265137,-13.379779815673828,"{""type"":""Point"",""coordinates"":[-13.379779815673828,10.543749809265137]}"
00000000000000000939,2581.0,2105.5,501.5,639.5,876.5,1415.5,LSMLB2,10.54673957824707,-13.377989768981934,"{""type"":""Point"",""coordinates"":[-13.377989768981934,10.546739578247069]}"
00000000000000001cfc,2243.5,1188.0,407.5,685.5,587.0,2902.0,BVT5UY,10.475390434265137,-13.373720169067383,"{""type"":""Point"",""coordinates"":[-13.373720169067383,10.475390434265137]}"
00000000000000001856,2328.0,1201.5,395.0,675.5,523.0,3027.0,5Z84V6,10.539179801940918,-13.363260269165039,"{""type"":""Point"",""coordinates"":[-13.363260269165039,10.539179801940918]}"
00000000000000001cfe,2509.0,1706.0,458.0,655.5,824.0,1819.5,9M5ATK,10.488920211791992,-13.363200187683105,"{""type"":""Point"",""coordinates"":[-13.363200187683105,10.488920211791992]}"
00000000000000001d09,2026.0,1154.0,342.5,555.5,535.0,2431.0,QHDBVS,10.54281997680664,-13.362159729003906,"{""type"":""Point"",""coordinates"":[-13.362159729003906,10.54281997680664]}"
0000000000000000184d,2476.0,1531.5,404.5,626.0,662.0,2161.0,MAVJYF,10.491499900817871,-13.361740112304688,"{""type"":""Point"",""coordinates"":[-13.361740112304688,10.49149990081787]}"
0000000000000000184c,2321.5,1532.5,438.0,717.0,714.0,2831.0,BL1DO9,10.475899696350098,-13.361510276794434,"{""type"":""Point"",""coordinates"":[-13.361510276794434,10.475899696350098]}"
00000000000000001858,2148.5,1059.0,390.0,732.0,537.5,3001.5,OT1HEX,10.541290283203125,-13.361100196838379,"{""type"":""Point"",""coordinates"":[-13.36110019683838,10.541290283203125]}"
00000000000000001d00,1916.5,951.0,298.5,547.5,375.5,2881.0,CODVVA,10.493470191955566,-13.361029624938965,"{""type"":""Point"",""coordinates"":[-13.361029624938965,10.493470191955568]}"
0000000000000000184b,2746.5,1774.0,450.0,745.5,795.5,2780.0,ZVBJ9S,10.472100257873535,-13.360429763793945,"{""type"":""Point"",""coordinates"":[-13.360429763793945,10.472100257873535]}"
0000000000000000093a,2594.5,2102.5,454.0,617.0,825.0,1583.0,CHZXEA,10.476909637451172,-13.360159873962402,"{""type"":""Point"",""coordinates"":[-13.360159873962406,10.476909637451174]}"
00000000000000001d03,1896.5,909.5,305.0,552.0,392.0,2905.0,75YSOD,10.514459609985352,-13.36005973815918,"{""type"":""Point"",""coordinates"":[-13.360059738159178,10.514459609985352]}"
00000000000000001cff,2440.0,1425.5,382.0,614.0,677.0,2253.0,JYKB6F,10.491379737854004,-13.35945987701416,"{""type"":""Point"",""coordinates"":[-13.359459877014162,10.491379737854004]}"
00000000000000001859,2369.0,1349.0,368.0,660.0,606.5,2935.0,NRH04T,10.54380989074707,-13.35830020904541,"{""type"":""Point"",""coordinates"":[-13.358300209045408,10.54380989074707]}"
00000000000000001853,2257.0,1500.5,321.0,551.5,477.5,2704.0,UOB21U,10.522379875183105,-13.356579780578613,"{""type"":""Point"",""coordinates"":[-13.356579780578612,10.522379875183107]}"
