,ID,landform_11,landform_12,landform_14,landform_21,landform_22,landform_24,landform_31,landform_34,landform_41,landform_42
0,JUZSWK,0,0,0,1,0,0,0,0,0,0
1,B5RDUR,0,0,0,1,0,0,0,0,0,0
2,IMQ2UL,0,0,0,1,0,0,0,0,0,0
3,GAP8LB,0,0,0,1,0,0,0,0,0,0
4,Q7QJ6M,0,0,0,1,0,0,0,0,0,0
5,3EYUL8,0,0,0,1,0,0,0,0,0,0
6,29L2PF,0,0,0,1,0,0,0,0,0,0
7,UUIOIG,0,0,0,0,0,0,1,0,0,0
8,9KOEHL,0,0,0,0,0,0,1,0,0,0
9,S6DD78,0,0,0,1,0,0,0,0,0,0
10,5XD1YT,0,0,0,1,0,0,0,0,0,0
11,JC0L94,0,0,0,1,0,0,0,0,0,0
12,J6A3UO,0,0,0,1,0,0,0,0,0,0
13,B4ZNVE,0,0,0,0,0,0,1,0,0,0
14,8ECSIW,0,0,0,0,0,0,1,0,0,0
15,B3J6WJ,0,0,0,0,0,0,1,0,0,0
16,CI9MC1,0,0,0,0,0,0,1,0,0,0
17,VFIAAC,0,0,0,0,0,0,1,0,0,0
18,KLXN9M,0,0,0,0,0,0,1,0,0,0
19,S63MLD,0,0,0,0,0,0,1,0,0,0
20,Z8GC17,0,0,0,0,0,0,1,0,0,0
21,39HJTI,0,0,0,0,0,0,0,0,1,0
22,VNDL3Q,0,0,0,0,0,0,0,0,1,0
23,O1M3SP,0,0,0,0,0,0,1,0,0,0
24,41W5FU,0,0,0,0,0,0,1,0,0,0
25,SZIIC0,0,0,0,1,0,0,0,0,0,0
26,WQ8RM1,0,0,0,0,0,0,1,0,0,0
27,WYUSL2,0,0,0,0,0,0,1,0,0,0
28,KZ9MMT,1,0,0,0,0,0,0,0,0,0
29,PLFF23,1,0,0,0,0,0,0,0,0,0
30,QM4IXR,0,0,0,1,0,0,0,0,0,0
31,BFX7KN,0,0,0,1,0,0,0,0,0,0
32,G5TXE8,0,0,0,0,0,0,1,0,0,0
33,F7LO6G,0,0,0,0,0,0,1,0,0,0
34,8AW0MO,0,0,0,1,0,0,0,0,0,0
35,OTQY4U,0,0,0,1,0,0,0,0,0,0
36,K7DRSP,0,0,0,0,0,0,0,0,1,0
37,TQC7K7,0,0,0,0,0,0,0,0,1,0
38,BJL2EW,0,0,0,1,0,0,0,0,0,0
39,V178I1,0,0,0,1,0,0,0,0,0,0
40,L99TPM,0,0,0,0,0,0,1,0,0,0
41,ANAJ12,0,0,0,0,0,0,1,0,0,0
42,HO4YJK,0,0,0,0,0,0,1,0,0,0
43,SF4P73,0,0,0,0,0,0,1,0,0,0
44,O6XJC2,1,0,0,0,0,0,0,0,0,0
45,LPNFTL,1,0,0,0,0,0,0,0,0,0
46,XRRU3Y,0,0,0,0,0,0,1,0,0,0
47,7LADOH,0,0,0,0,0,0,1,0,0,0
48,JNWZLN,0,0,0,0,0,0,0,0,1,0
49,Q5R7X8,0,0,0,0,0,0,0,0,1,0
50,K2JIVO,0,0,0,0,0,0,0,0,1,0
51,DA46Q4,0,0,0,0,0,0,0,0,1,0
52,WZHG39,0,0,0,0,0,0,1,0,0,0
53,N9WJL8,0,0,0,0,0,0,1,0,0,0
54,VWRPSC,0,0,0,1,0,0,0,0,0,0
55,221UWM,0,0,0,1,0,0,0,0,0,0
56,YT9LIA,0,0,0,1,0,0,0,0,0,0
57,DEFPX4,0,0,0,1,0,0,0,0,0,0
58,Q7XCXC,1,0,0,0,0,0,0,0,0,0
59,WC85S1,1,0,0,0,0,0,0,0,0,0
60,TD3KGJ,1,0,0,0,0,0,0,0,0,0
61,VXDLUO,1,0,0,0,0,0,0,0,0,0
62,VQJCF6,0,0,0,0,0,0,1,0,0,0
63,9FTHL5,0,0,0,0,0,0,1,0,0,0
64,I5DDTF,0,0,0,1,0,0,0,0,0,0
65,54F181,0,0,0,1,0,0,0,0,0,0
66,RCYGF8,0,0,0,0,0,0,1,0,0,0
67,QMRNVB,0,0,0,0,0,0,1,0,0,0
68,Y8ADRD,0,0,0,0,0,0,1,0,0,0
69,6IBST8,0,0,0,0,0,0,1,0,0,0
70,S1PEGH,0,0,0,1,0,0,0,0,0,0
71,IQD0JU,0,0,0,1,0,0,0,0,0,0
72,F4XD3B,0,0,0,1,0,0,0,0,0,0
73,I9JIKU,0,0,0,1,0,0,0,0,0,0
74,5G5ZU6,0,0,0,0,0,0,1,0,0,0
75,TELCBD,0,0,0,0,0,0,1,0,0,0
76,ER8RHS,0,0,0,0,0,0,1,0,0,0
77,HUDCD7,0,0,0,1,0,0,0,0,0,0
78,KLQ523,0,0,0,1,0,0,0,0,0,0
79,DAE3J9,0,0,0,1,0,0,0,0,0,0
80,ZYAGPV,0,0,0,1,0,0,0,0,0,0
81,A2ARGP,0,0,0,0,0,0,1,0,0,0
82,7DP9R3,0,0,0,0,0,0,1,0,0,0
83,YDQHSE,0,0,0,0,0,0,1,0,0,0
84,JWJ6O8,0,0,0,1,0,0,0,0,0,0
85,QOS51R,0,0,0,1,0,0,0,0,0,0
86,43IHZS,0,0,0,0,0,0,1,0,0,0
87,HP7AXC,0,0,0,0,0,0,1,0,0,0
88,P6NB4S,0,0,0,0,0,0,1,0,0,0
89,9LGR8I,0,0,0,0,0,0,1,0,0,0
90,K2MSM7,0,0,0,0,0,0,1,0,0,0
91,DL7HVS,0,0,0,0,0,0,1,0,0,0
92,UA8GVZ,0,0,0,1,0,0,0,0,0,0
93,DSYEE9,0,0,0,1,0,0,0,0,0,0
94,7G4KM5,0,0,0,1,0,0,0,0,0,0
95,ST6LMV,0,0,0,1,0,0,0,0,0,0
96,LVT68J,0,0,0,1,0,0,0,0,0,0
97,UAUZZ3,0,0,0,1,0,0,0,0,0,0
98,0ZBYB8,0,0,0,0,0,0,1,0,0,0
99,2P3PVO,0,0,0,0,0,0,1,0,0,0
100,ZW9U21,0,0,0,1,0,0,0,0,0,0
101,39BSVO,0,0,0,1,0,0,0,0,0,0
102,LKDZLJ,0,0,0,0,0,0,1,0,0,0
103,SU18SC,0,0,0,0,0,0,1,0,0,0
104,ODQCQB,0,0,0,0,0,0,0,0,1,0
105,0K8TFP,0,0,0,0,0,0,0,0,1,0
106,UOLU7T,0,0,0,0,0,0,1,0,0,0
107,W2ZNWP,0,0,0,0,0,0,1,0,0,0
108,YWR8XG,0,0,0,0,0,0,0,0,1,0
109,N54XYE,0,0,0,0,0,0,0,0,1,0
110,MO2D7U,0,0,0,1,0,0,0,0,0,0
111,STNT57,0,0,0,1,0,0,0,0,0,0
112,8W452O,0,0,0,1,0,0,0,0,0,0
113,1WXIQL,0,0,0,1,0,0,0,0,0,0
114,YI6UA8,0,0,0,0,0,0,1,0,0,0
115,Q8NT8I,0,0,0,0,0,0,1,0,0,0
116,ES7PZO,0,0,0,0,0,0,1,0,0,0
117,AMZ9XU,0,0,0,0,0,0,1,0,0,0
118,AKB5IQ,0,0,0,0,0,0,1,0,0,0
119,28W2GC,1,0,0,0,0,0,0,0,0,0
120,1GFDWD,1,0,0,0,0,0,0,0,0,0
121,T3ESGL,1,0,0,0,0,0,0,0,0,0
122,UWN7VC,1,0,0,0,0,0,0,0,0,0
123,M4HYRU,0,0,0,0,0,0,0,0,1,0
124,RSNVBM,0,0,0,0,0,0,0,0,1,0
125,JDVAIW,0,0,0,0,0,0,0,0,1,0
126,S8GNTJ,0,0,0,0,0,0,1,0,0,0
127,5MOXU4,0,0,0,0,0,0,1,0,0,0
128,BM78X2,0,0,0,0,0,0,0,0,1,0
129,I6BBJR,0,0,0,0,0,0,0,0,1,0
130,YJXYM9,0,0,0,0,0,0,0,0,1,0
131,8JN4RK,0,0,0,0,0,0,0,0,1,0
132,SH6B9O,0,0,0,0,0,0,1,0,0,0
133,PC5OP1,0,0,0,0,0,0,1,0,0,0
134,0ECWVV,0,0,0,0,0,0,1,0,0,0
135,QLAKCS,0,0,0,0,0,0,1,0,0,0
