Area,Bananas,"Beans, dry","Cashew nuts, in shell","Cassava, fresh","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Coffee, green","Groundnuts, excluding shelled",Maize (corn),"Mangoes, guavas and mangosteens",Millet,"Onions and shallots, dry (excluding dehydrated)",Oranges,"Other fruits, n.e.c.",Other pulses n.e.c.,"Other vegetables, fresh n.e.c.",Pineapples,Potatoes,Rice,"Seed cotton, unginned",Sesame seed,Sorghum,Soya beans,Sugar cane,Sweet potatoes,Tomatoes,Unmanufactured tobacco
Angola,24064.809090909093,405.1363636363636,690.9272727272727,11559.654545454545,0.0,296.43636363636364,560.1909090909091,883.5454545454545,11381.525,215.0909090909091,0.0,0.0,4526.227272727273,0.0,9867.872727272728,12205.7,7324.909090909091,1022.4,1446.9636363636364,263.1363636363636,227.73636363636362,603.709090909091,38876.818181818184,8256.936363636363,10544.10909090909,1018.4454545454545
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,446.14545454545447,227.22727272727272,0.0,294.75454545454545,30749.68181818182,10564.199999999999,3014.681818181818,237.4090909090909,10531.118181818181,0.0,15454.05,0.0,2467.0,0.0,473.7818181818182,0.0,0.0,11428.6,44759.45,0.0
Burkina Faso,25250.216666666664,0.0,892.2909090909092,15187.918181818182,4513.727272727273,0.0,799.1181818181817,1679.1454545454544,8623.972727272727,792.8090909090909,0.0,4579.381818181818,5513.045454545455,1027.3454545454545,7972.2,0.0,1926.9818181818182,2197.4636363636364,1193.3181818181818,619.8000000000001,982.5636363636364,1300.9818181818182,101775.37272727274,11356.20909090909,17100.609090909093,734.2363636363636
Cameroon,15425.472727272729,1281.1818181818182,0.0,13845.20909090909,2126.245454545455,391.06363636363636,1346.9545454545455,1894.6727272727273,5743.236363636363,1296.418181818182,16594.636363636364,0.0,6134.181818181818,1101.7,10208.336363636363,32824.05454545454,9527.363636363636,1642.6,1374.9454545454546,919.7818181818183,1467.390909090909,1257.5363636363636,39950.22727272727,5891.345454545455,12658.981818181817,1503.3272727272727
Côte d'Ivoire,43863.08181818182,855.7454545454547,413.82727272727277,6537.8,6431.863636363636,169.4090909090909,1273.509090909091,2054.745454545455,560.5090909090909,793.4,0.0,12561.29090909091,5219.963636363636,749.9,8231.563636363637,55317.84545454546,0.0,2448.181818181818,1035.7636363636364,198.9818181818182,679.290909090909,1305.2818181818182,76121.31818181818,1904.2363636363634,10221.927272727273,514.2636363636364
Ethiopia,8114.509090909091,1120.490909090909,0.0,0.0,2475.2363636363634,710.9818181818182,1510.2454545454545,2630.7272727272725,6824.618181818182,1801.7363636363634,8699.509090909092,13146.254545454545,9931.436363636363,1120.3363636363638,2759.8272727272724,2541.4727272727273,9698.663636363637,2562.2727272727275,1116.5181818181818,781.4090909090909,2242.3545454545456,2469.6181818181817,40162.59090909091,27029.1,9034.509090909092,675.5272727272727
Ghana,10390.800000000001,1165.1181818181817,516.3454545454546,17601.50909090909,7706.572727272727,1531.0545454545454,1363.1454545454546,1857.5818181818183,12615.19090909091,1082.1818181818182,15877.163636363635,38002.13636363636,4276.363636363636,94.89090909090909,9235.427272727273,58517.609090909085,0.0,2719.254545454545,900.9272727272728,0.0,1169.4545454545455,1634.0363636363638,25018.52727272727,1781.0090909090907,7377.254545454546,413.1181818181818
Guinea,4992.900000000001,0.0,1352.418181818182,7870.363636363636,3997.325,437.3545454545454,1147.9818181818182,1351.6818181818182,2005.1272727272728,1091.6818181818182,19951.55,14023.2,0.0,909.8545454545455,3957.657142857143,4181.690909090909,11169.4,1310.4727272727273,995.2090909090908,239.8,1104.8727272727274,0.0,53575.43636363637,4946.027272727273,16979.975,1152.918181818182
Kenya,21698.763636363637,602.1727272727272,792.1727272727272,12326.827272727272,6723.518181818182,355.71818181818185,1831.1454545454544,1602.6454545454544,13800.627272727272,736.7727272727273,12238.354545454546,12587.40909090909,11269.300000000001,429.75454545454545,8160.981818181818,28612.463636363635,15697.972727272729,3498.7363636363634,500.45454545454544,485.87272727272733,715.8636363636364,1038.6636363636362,79866.04545454546,13190.418181818182,22006.49090909091,711.2181818181817
Madagascar,5508.127272727273,1082.4454545454546,452.97272727272724,7626.909090909091,6698.809090909091,520.5818181818182,715.9181818181819,1665.4818181818182,7135.827272727273,0.0,6088.018181818182,6237.636363636364,6863.436363636364,1138.009090909091,9682.936363636363,5653.136363636364,5953.845454545455,3291.472727272727,980.3545454545455,0.0,566.7272727272727,593.0909090909091,31748.763636363637,7640.372727272727,8651.50909090909,783.7727272727273
