ID,Longitude,Latitude
QQ0GC4,32.89264,-8.8548
AULYHW,34.74997,-8.85477
28VJD7,34.62706,-8.85397
AAKJQT,34.62527,-8.85396
ZS9XUF,34.58914,-8.85368
TRHGKR,36.33761,-8.85288
BX1U89,32.67647,-8.85264
HIGOC9,32.72914,-8.85205
564OJD,34.57505,-8.85194
DIEBD1,32.22072,-8.85189
LBDAPI,36.33848,-8.8518
UVUJ7O,32.69586,-8.85149
TTHC1J,34.62793,-8.85123
SNQ0PS,32.21618,-8.8509
GHN1N7,32.67454,-8.85067
GA4FMF,32.69286,-8.85012
CQOPN2,32.69256,-8.85004
4OB8LE,34.57737,-8.84922
6ZYO40,32.69222,-8.84892
HAX55E,32.93065,-8.84783
CS171V,34.74889,-8.84755
RHPYBA,32.28228,-8.84738
L2TJOI,36.34662,-8.84711
MM2EPN,31.84486,-8.84704
4KZ0Z9,31.84671,-8.84703
GJHVHQ,36.3091,-8.84691
SGOF4G,34.69334,-8.84625
2K3VG6,36.30927,-8.84603
HG6RIM,36.31094,-8.84593
YVJZRH,32.69178,-8.8455
P9H9ND,36.34554,-8.8453
K34LM9,31.84757,-8.84521
RV3S16,32.92602,-8.84504
SJN929,34.69605,-8.84443
C0X0GL,32.21418,-8.84435
TCPJZJ,32.96141,-8.84435
RC2LRL,32.22268,-8.84416
CL2KE8,32.91966,-8.84406
MBWB2B,32.69534,-8.84368
VXBD6W,32.91933,-8.84365
38XG7F,32.94419,-8.84336
VSLTXB,34.74788,-8.84334
8ONXZ6,32.94358,-8.84333
FSU1DV,32.92055,-8.84325
J0YIHA,36.31364,-8.84321
YUFV68,32.94408,-8.84309
52JLLO,32.96399,-8.84163
VMIHR8,32.95038,-8.84156
V8TW70,36.31079,-8.84145
Y338MG,34.69049,-8.84101
J0QBQS,32.22223,-8.84093
I4432L,34.69047,-8.84081
4CGXQ6,32.94593,-8.84062
B6G91A,34.74318,-8.83943
4B4GGX,32.23678,-8.83929
UOOA0F,32.2341,-8.83822
00VF91,32.94755,-8.83808
FLHC5J,32.94753,-8.83803
JTJ198,32.96133,-8.83801
SKC9HU,34.67212,-8.83792
SQWVEB,32.93102,-8.8378
C0V3X2,32.92302,-8.83773
NKQSIM,32.27046,-8.83766
8OTDUR,32.23602,-8.83759
4CR4C5,32.26749,-8.83656
QKUFLU,32.19775,-8.83629
77CGLW,32.91585,-8.83595
XV25B2,31.85745,-8.83532
06528U,36.34442,-8.83527
W27BJI,32.85406,-8.83478
Y15SRF,32.86863,-8.83477
T9LZWS,32.97857,-8.8345
HXXL34,32.85507,-8.83435
SMCKXR,32.983,-8.83366
5J1VS6,34.66115,-8.83343
O8CNPS,34.61225,-8.83307
FZVOFL,32.27024,-8.83305
RYA8AQ,32.86858,-8.83298
QKLLJS,32.874,-8.83295
AU8FHG,34.60898,-8.83281
XJNGRU,32.20485,-8.8327
0YPMHM,32.20307,-8.83269
4KD9RS,34.60705,-8.83259
MO9E23,34.66475,-8.83249
2TG7ZU,32.87033,-8.83202
Z8SMAI,32.85455,-8.8319
2T2WI5,34.60663,-8.83185
D3UBAY,32.86036,-8.83108
1MNOPK,32.66425,-8.83082
ZRHIKP,31.85563,-8.83074
BM9JDQ,34.62563,-8.83042
FQ3VZ2,34.66562,-8.82974
6DEGZ0,32.92205,-8.82963
DREWML,32.84023,-8.82928
302JH8,32.73046,-8.8285
RUW5N0,34.73206,-8.82849
55678W,34.61428,-8.82846
PALUIG,31.84629,-8.82801
CQKCYX,32.833,-8.82792
4DUH4D,32.97927,-8.82728
D99UZG,32.28376,-8.82684
OK23HV,32.7268,-8.82665
KU3OQ8,32.72673,-8.82664
1PW3BU,32.72674,-8.82664
1PAI9R,36.35757,-8.82587
XGCHRI,31.84449,-8.82524
A2WE29,32.89565,-8.82496
ZOPLK9,34.87486,-8.82491
FBPSSA,34.87714,-8.82462
M5SO5W,32.73309,-8.824
QC0L9V,32.6922,-8.82378
QHLXLL,34.72924,-8.82317
FCKS1F,32.73747,-8.82129
ICD1RU,32.25274,-8.82125
YAYJES,31.84636,-8.82032
9RY9ME,32.25457,-8.82016
RPZ06F,32.95733,-8.81994
CV3E0Y,32.959,-8.81923
TA7M9S,32.95637,-8.81805
7U4R3A,32.7393,-8.81773
8BENNH,34.61159,-8.81754
5ZJU67,32.69388,-8.81744
OFOBZT,34.60655,-8.81741
8I5IXE,34.62795,-8.81687
3QXCC5,32.73473,-8.8168
KP3GS0,32.25891,-8.81667
3N4ZIN,34.63077,-8.81623
V9OQ4I,34.63059,-8.81619
FJY6HF,34.62433,-8.81612
