ID,Longitude,Latitude
O2TONM,35.18756,-8.6239
BQLUK6,35.18558,-8.623
LSET8M,35.18579,-8.62221
LEEL7I,35.18266,-8.62177
LDNGO2,35.12984,-8.62005
C1V4X1,35.13662,-8.6184
U3DX7Q,35.12916,-8.61818
B5CSC7,35.12888,-8.61796
PSGXRQ,35.18277,-8.61593
RAA1RC,35.13098,-8.61547
YQ4D0E,35.60298,-8.61498
L91GYD,35.60063,-8.61348
KXEGKE,35.59959,-8.61346
9KRGJG,35.60433,-8.61271
B8TKGO,35.59236,-8.61164
ETYXAP,35.60665,-8.60967
Q24C83,35.62835,-8.60393
Q4LBLV,35.14319,-8.60284
ECNZCO,35.19926,-8.60172
2K768M,35.14148,-8.60114
WQMCY2,35.14184,-8.60032
MFF8RI,35.14509,-8.60031
MX2F0W,35.56841,-8.59968
G6F953,35.65183,-8.59912
WF937B,35.56839,-8.59885
H4PC4F,35.19737,-8.59876
00TCBD,35.64851,-8.59863
XHFIN3,35.1967,-8.59858
DEX0X1,35.64833,-8.59784
QYHXH8,35.13931,-8.59702
LCS0V0,35.13424,-8.59625
B9NH3I,35.13439,-8.59604
XV60NM,35.13228,-8.59293
Y0DSHA,35.44789,-8.59144
63WATE,35.14203,-8.5913
8ZO7UN,35.13205,-8.59012
J6ZTE7,35.17618,-8.58839
JEZEW2,35.16214,-8.58749
20I71A,35.44734,-8.58748
A8AZHW,35.4571,-8.58716
Q9R801,35.61065,-8.58683
MRZC2J,35.60989,-8.58675
75O0KX,35.63247,-8.58667
RMGRYC,35.45063,-8.58627
NF1DUL,35.15763,-8.58567
NUFJIS,35.15738,-8.58561
GZHP4Q,35.63507,-8.58548
4LIFM0,35.45772,-8.58373
XXJHFR,35.4515,-8.58358
13NI7D,35.16219,-8.58185
DGX833,35.44966,-8.58159
K2JR9I,35.45769,-8.57993
EQPF0A,35.46073,-8.57969
3YJWTB,35.16279,-8.57954
A1RSQV,35.62251,-8.57893
93XW42,35.45573,-8.57831
VYQ96G,35.17772,-8.57787
9CTIEZ,35.10974,-8.57748
KBASIO,35.62171,-8.57678
0LYYXX,35.12939,-8.5754
OLTRL2,35.12936,-8.57539
C64BHA,35.13513,-8.57423
GR2QFU,35.62601,-8.57395
OXGO3H,35.11717,-8.57383
FV3RQT,35.11278,-8.5738
MUX9LD,35.61913,-8.57377
9HC9OA,35.61916,-8.57377
88Z9RL,35.5714,-8.57261
SH2I0S,35.18092,-8.57248
VV7VG3,35.17222,-8.5717
YKQ02D,35.17204,-8.57169
CYCSM5,35.11119,-8.57158
8IHY1K,35.57024,-8.56872
FOURGS,35.56923,-8.56856
BQ9O8I,35.14022,-8.56841
OOFDTQ,35.56937,-8.56616
Y4069V,35.5685,-8.5656
U24BHN,35.17401,-8.5654
128P3R,35.14253,-8.56495
LL1CVH,35.13693,-8.56492
FN3XEN,35.14262,-8.56484
U9GG1E,35.14249,-8.5641
LNV7XC,35.41819,-8.56388
OQXK1S,35.60937,-8.56257
PF634Z,35.63046,-8.56236
VV8T3F,35.17186,-8.56232
DHAZE8,35.63178,-8.56228
JDBT6H,35.61037,-8.5618
7IURVU,35.18794,-8.56072
AKJ106,35.6311,-8.56037
KZO17R,35.10951,-8.55941
363RZT,35.15874,-8.55926
9OIHEL,35.61705,-8.55917
UXEYA0,35.11605,-8.55783
KX3NK2,35.116,-8.55745
OGGLZ7,35.11427,-8.55745
NQ1428,35.15987,-8.55718
X1QYLS,35.61089,-8.55697
MXZWJB,35.63492,-8.55615
R6M7WR,35.18715,-8.55483
YNI5OC,35.15562,-8.55457
J9R8WT,35.63915,-8.55422
R4PQDG,35.18427,-8.55406
UYZF03,35.18426,-8.55386
1929HP,35.56781,-8.5537
6OTPFW,35.44705,-8.55367
9MQZ7F,35.41713,-8.55331
PHPN7D,35.16056,-8.55269
C6MJDX,35.41337,-8.55256
33P0DD,35.3915,-8.55249
47CZO8,35.44704,-8.551
W9XXVF,35.39406,-8.55005
DGCVH0,35.41146,-8.54985
IAPMA3,35.56411,-8.54966
DJWUZ3,35.44513,-8.54923
6W4CZ8,35.44361,-8.54922
56VH1O,35.39607,-8.54921
HON4JU,35.43553,-8.54903
3YUOYG,35.45059,-8.54743
KQ4UPB,35.64021,-8.5474
Y608UM,35.45872,-8.54562
YZM3FL,35.38111,-8.54241
EQ2VH8,35.46606,-8.53432
VR6Q8N,35.33918,-8.53213
MJJOBH,35.33555,-8.53127
379QYX,34.86382,-8.53125
7TIF30,35.01893,-8.53115
4GDOZE,35.46447,-8.53067
B2A1SW,34.86683,-8.53061
4R79MF,35.10979,-8.53049
8FBP0N,35.04328,-8.53004
XHEK5I,35.29356,-8.52997
25RSJB,35.02325,-8.52986
7LTBVM,34.80034,-8.5292
MPLBYV,35.2917,-8.5291
N3040R,35.01971,-8.52895
SFU650,35.12793,-8.52882
Z657TG,35.33547,-8.52857
VTGARN,34.81581,-8.52836
PVAQKY,35.29721,-8.52826
K1KDLC,35.04233,-8.52821
AAVD4C,35.13248,-8.528
EUPWWA,35.13432,-8.52794
453X0M,35.0257,-8.52752
21LU8Z,34.94411,-8.52748
NDPWVZ,35.18526,-8.52745
D58WA3,35.40915,-8.52737
QQ64QG,34.94777,-8.5271
47DE5T,35.02514,-8.52709
H3IW06,35.12605,-8.52695
GRYQLY,35.1089,-8.52684
D0HXC6,34.94685,-8.52659
EG3HFS,35.18608,-8.52562
6IRNC8,34.80482,-8.52551
NKPSHS,35.04136,-8.52549
PFY2RB,34.86855,-8.52517
JIRIV9,35.46673,-8.52517
