ID,Longitude,Latitude
2XZE9O,33.06412,-3.03702
5T52MN,33.63089,-3.03698
7BJV6R,33.04474,-3.03686
VRTJ86,33.04722,-3.03661
K0XP6A,33.0596,-3.0365
0WNQZQ,33.01646,-3.03648
JAWWHW,33.09141,-3.0362
MOP4KC,33.08587,-3.03618
TNBKRF,33.06605,-3.0355
OD21BI,33.01512,-3.03549
9HXP5T,32.73654,-3.03532
FDJR75,33.06511,-3.03532
2LCBQL,33.06134,-3.03518
JFS2IA,33.01792,-3.03509
EXIFSO,33.04702,-3.03506
LL15C9,33.01333,-3.03505
PRZEW8,33.01941,-3.03501
DKRCE5,33.06828,-3.03498
QAVJR2,33.0135,-3.03419
PFEXKT,33.04374,-3.03362
UWE1ZI,31.97829,-3.03357
61X4EQ,33.04245,-3.03343
5LLUFU,33.04717,-3.03342
SX4UHH,33.0641,-3.03299
ARN3WX,33.01797,-3.03248
7008QQ,33.04315,-3.03209
F62TP7,34.11452,-3.03182
BVDTK1,33.06323,-3.03165
Q47FA3,33.01463,-3.03145
7ASTA7,33.04171,-3.03112
LEPUPP,33.06267,-3.03099
TR8NP1,33.06544,-3.0303
WBQSA8,34.32924,-3.03012
ISJEDM,33.0152,-3.0297
HZZTYA,33.71219,-3.02902
HZE1IN,34.06024,-3.02892
D2OFSF,31.73919,-3.02874
3ZCRET,34.02633,-3.02847
SS22T4,33.82974,-3.02826
PRN5P7,33.98564,-3.02796
T6OMLS,33.97436,-3.02781
ARPNHE,31.77719,-3.02723
G29FJ4,33.86805,-3.02649
IG174V,34.31339,-3.02541
QK6LWA,34.09411,-3.02485
JABA8V,31.75272,-3.02433
93AOCU,33.608,-3.02419
2Q46VV,32.19216,-3.02388
IYSN9M,33.82742,-3.0237
OLA18M,33.73921,-3.02264
SS8NGS,31.98283,-3.02237
BKPA2S,33.68044,-3.02185
SPKTK9,34.19583,-3.02162
YOUSQI,33.64222,-3.0212
F3HWS1,33.60374,-3.01867
UWPJZC,33.77074,-3.01832
T9FSEO,33.62853,-3.01671
60AB5V,32.26696,-3.01653
0C3IKO,33.61994,-3.01653
EWY4HP,33.06172,-3.01624
H55452,33.0153,-3.01606
204RDU,33.91998,-3.0159
7O5UYI,33.72567,-3.01569
7FZUKK,33.06236,-3.01557
RGFXOO,33.08667,-3.01531
0XVT4M,33.08854,-3.0151
UVMVNL,33.82964,-3.01474
MXZ8IV,33.63521,-3.0146
